#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_016845.1",382,822,"-",11849782,,"KPHS_00010","YP_005224301.1",146,"flavodoxin"
"chromosome","NC_016845.1",922,1380,"-",11849790,,"KPHS_00020","YP_005224302.1",152,"DNA-binding transcriptional regulator AsnC"
"chromosome","NC_016845.1",1532,2524,"+",11849897,,"KPHS_00030","YP_005224303.1",330,"asparagine synthetase AsnA"
"chromosome","NC_016845.1",2528,3976,"-",11849899,,"KPHS_00040","YP_005224304.1",482,"ATPase RavA stimulator ViaA"
"chromosome","NC_016845.1",3973,5472,"-",11849901,,"KPHS_00050","YP_005224305.1",499,"regulatory ATPase RavA"
"chromosome","NC_016845.1",5690,7558,"+",11849903,,"KPHS_00060","YP_005224306.1",622,"potassium transport protein Kup"
"chromosome","NC_016845.1",7744,8163,"+",11849905,,"KPHS_00070","YP_005224307.1",139,"D-ribose pyranase"
"chromosome","NC_016845.1",8174,9679,"+",11850139,,"KPHS_00080","YP_005224308.1",501,"D-ribose transporter ATP-binding protein"
"chromosome","NC_016845.1",9685,10650,"+",11849670,,"KPHS_00090","YP_005224309.1",321,"ribose ABC transporter permease"
"chromosome","NC_016845.1",10678,11568,"+",11844985,,"KPHS_00100","YP_005224310.1",296,"D-ribose transporter subunit RbsB"
"chromosome","NC_016845.1",11669,12601,"+",11844986,,"KPHS_00110","YP_005224311.1",310,"ribokinase"
"chromosome","NC_016845.1",12614,13597,"+",11844987,,"KPHS_00120","YP_005224312.1",327,"ribose operon repressor"
"chromosome","NC_016845.1",13594,14991,"-",11844988,,"KPHS_00130","YP_005224313.1",465,"MFS family transporter"
"chromosome","NC_016845.1",15004,15705,"-",11844989,,"KPHS_00140","YP_005224314.1",233,"putative transcriptional regulator"
"chromosome","NC_016845.1",21377,21883,"-",11844993,,"KPHS_00150","YP_005224315.1",168,"molybdopterin-guanine dinucleotide biosynthesis protein MobB"
"chromosome","NC_016845.1",21880,22461,"-",11844994,,"KPHS_00160","YP_005224316.1",193,"molybdopterin-guanine dinucleotide biosynthesis protein MobA"
"chromosome","NC_016845.1",22533,22802,"+",11844995,,"KPHS_00170","YP_005224317.1",89,"YihD family protein"
"chromosome","NC_016845.1",22878,23864,"+",11844996,,"KPHS_00180","YP_005224318.1",328,"serine/threonine protein kinase RdoA"
"chromosome","NC_016845.1",23892,24515,"+",11844997,,"KPHS_00190","YP_005224319.1",207,"protein disulfide isomerase I"
"chromosome","NC_016845.1",24563,25462,"-",11844998,,"KPHS_00200","YP_005224320.1",299,"putative endonuclease"
"chromosome","NC_016845.1",25973,28651,"+",11844999,,"KPHS_00210","YP_005224321.1",892,"DNA polymerase I"
"chromosome","NC_016845.1",28999,29631,"-",11845000,,"KPHS_00220","YP_005224322.1",210,"GTP-binding protein"
"chromosome","NC_016845.1",30215,30721,"+",11845001,,"KPHS_00230","YP_005224323.1",168,"Der GTPase-activating protein YihI"
"chromosome","NC_016845.1",30910,32283,"+",11845002,,"KPHS_00240","YP_005224324.1",457,"coproporphyrinogen III oxidase"
"chromosome","NC_016845.1",32540,33949,"-",11845003,,"KPHS_00250","YP_005224325.1",469,"nitrogen regulation protein NR(I)"
"chromosome","NC_016845.1",33958,35007,"-",11845004,,"KPHS_00260","YP_005224326.1",349,"nitrogen regulation protein NR(II)"
"chromosome","NC_016845.1",35196,36605,"-",11845005,,"KPHS_00270","YP_005224327.1",469,"glutamine synthetase"
"chromosome","NC_016845.1",36662,36823,"-",11845006,,"KPHS_00280","YP_005224328.1",53,"hypothetical protein KPHS_00280"
"chromosome","NC_016845.1",36984,38807,"+",11845007,,"KPHS_00290","YP_005224329.1",607,"GTP-binding protein"
"chromosome","NC_016845.1",38943,39542,"+",11845008,,"KPHS_00300","YP_005224330.1",199,"phosphatase"
"chromosome","NC_016845.1",39536,40396,"+",11845009,,"KPHS_00310","YP_005224331.1",286,"ribonuclease BN"
"chromosome","NC_016845.1",40393,40830,"+",11845010,,"KPHS_00320","YP_005224332.1",145,"D-tyrosyl-tRNA deacylase"
"chromosome","NC_016845.1",40815,41816,"+",11845011,,"KPHS_00330","YP_005224333.1",333,"putative acetyltransferase"
"chromosome","NC_016845.1",41830,42747,"-",11845012,,"KPHS_00340","YP_005224334.1",305,"acetyl esterase"
"chromosome","NC_016845.1",42952,43194,"+",11845013,,"KPHS_00350","YP_005224335.1",80,"ribbon-helix-helix domain-containing protein"
"chromosome","NC_016845.1",43194,43577,"+",11845014,,"KPHS_00360","YP_005224336.1",127,"putative 2-component transcriptional regulator"
"chromosome","NC_016845.1",43751,44680,"-",11845015,,"KPHS_00370","YP_005224337.1",309,"formate dehydrogenase accessory protein FdhE"
"chromosome","NC_016845.1",44677,45312,"-",11845016,,"KPHS_00380","YP_005224338.1",211,"formate dehydrogenase-O subunit gamma"
"chromosome","NC_016845.1",45309,46211,"-",11845017,,"KPHS_00390","YP_005224339.1",300,"formate dehydrogenase-O, Fe-S subunit"
"chromosome","NC_016845.1",46224,48638,"-",11845018,,"KPHS_00400","YP_005224340.1",804,"formate dehydrogenase-O alpha subunit"
"chromosome","NC_016845.1",48687,49274,"-",11845019,,"KPHS_00410","YP_005224341.1",195,"formate dehydrogenase-O alpha subunit"
"chromosome","NC_016845.1",49431,50267,"+",11845020,,"KPHS_00420","YP_005224342.1",278,"formate dehydrogenase accessory protein"
"chromosome","NC_016845.1",50396,50608,"+",11845021,,"KPHS_00430","YP_005224343.1",70,"DUF1471 domain-containing protein"
"chromosome","NC_016845.1",51011,51991,"+",11845022,,"KPHS_00440","YP_005224344.1",326,"putative 6-phosphofructokinase"
"chromosome","NC_016845.1",52003,52317,"+",11845023,,"KPHS_00450","YP_005224345.1",104,"PTS family protein II component"
"chromosome","NC_016845.1",52310,53677,"+",11845024,,"KPHS_00460","YP_005224346.1",455,"putative sugar phosphotransferase component IIC"
"chromosome","NC_016845.1",53664,54506,"+",11845025,,"KPHS_00470","YP_005224347.1",280,"putative ketose-bisphosphate aldolase, class-II"
"chromosome","NC_016845.1",54565,54834,"+",11845026,,"KPHS_00480","YP_005224348.1",89,"hypothetical protein KPHS_00480"
"chromosome","NC_016845.1",54844,55281,"+",11845027,,"KPHS_00490","YP_005224349.1",145,"PTS family protein IIA component"
"chromosome","NC_016845.1",55278,55871,"+",11845028,,"KPHS_00500","YP_005224350.1",197,"putative serine protease"
"chromosome","NC_016845.1",55868,56191,"-",11845029,,"KPHS_00510","YP_005224351.1",107,"putative inner membrane protein"
"chromosome","NC_016845.1",56191,56769,"-",11845030,,"KPHS_00520","YP_005224352.1",192,"AzlC family ABC transporter permease"
"chromosome","NC_016845.1",56896,57498,"+",11845031,,"KPHS_00530","YP_005224353.1",200,"putative helix-turn-helix regulatory protein"
"chromosome","NC_016845.1",57586,58581,"+",11845032,,"KPHS_00540","YP_005224354.1",331,"galETK operon repressor"
"chromosome","NC_016845.1",58697,60820,"+",11845033,,"KPHS_00550","YP_005224355.1",707,"putative glycoprotein"
"chromosome","NC_016845.1",60862,62127,"+",11845034,,"KPHS_00560","YP_005224356.1",421,"raffinose permease"
"chromosome","NC_016845.1",62165,62479,"-",11845035,,"KPHS_00570","YP_005224357.1",104,"L-rhamnose 1-epimerase"
"chromosome","NC_016845.1",62476,63624,"-",11845036,,"KPHS_00580","YP_005224358.1",382,"alcohol dehydrogenase"
"chromosome","NC_016845.1",63714,64718,"-",11845037,,"KPHS_00590","YP_005224359.1",334,"rhamnose ABC transport system permease component"
"chromosome","NC_016845.1",64715,65722,"-",11845038,,"KPHS_00600","YP_005224360.1",335,"putative inner-membrane translocator"
"chromosome","NC_016845.1",65719,67230,"-",11845039,,"KPHS_00610","YP_005224361.1",503,"putative ABC transporter"
"chromosome","NC_016845.1",67376,68362,"-",11845040,,"KPHS_00620","YP_005224362.1",328,"rhamnose transport system substrate-binding component"
"chromosome","NC_016845.1",68444,69274,"-",11845041,,"KPHS_00630","YP_005224363.1",276,"rhamnulose-1-phosphate aldolase"
"chromosome","NC_016845.1",69424,70683,"-",11845042,,"KPHS_00640","YP_005224364.1",419,"L-rhamnose isomerase"
"chromosome","NC_016845.1",70680,72146,"-",11845043,,"KPHS_00650","YP_005224365.1",488,"rhamnulokinase"
"chromosome","NC_016845.1",72457,73293,"+",11845044,,"KPHS_00660","YP_005224366.1",278,"transcriptional activator RhaS"
"chromosome","NC_016845.1",73367,74212,"+",11845045,,"KPHS_00670","YP_005224367.1",281,"rhaRS operon positive regulator"
"chromosome","NC_016845.1",74245,75279,"-",11845046,,"KPHS_00680","YP_005224368.1",344,"rhamnose-proton symporter"
"chromosome","NC_016845.1",75569,76189,"+",11845047,,"KPHS_00690","YP_005224369.1",206,"superoxide dismutase"
"chromosome","NC_016845.1",76262,76936,"+",11845048,,"KPHS_00700","YP_005224370.1",224,"6-N-hydroxylaminopurine resistance protein"
"chromosome","NC_016845.1",77004,78365,"-",11845049,,"KPHS_00710","YP_005224371.1",453,"two-component sensor protein"
"chromosome","NC_016845.1",78374,79072,"-",11845050,,"KPHS_00720","YP_005224372.1",232,"DNA-binding transcriptional regulator CpxR"
"chromosome","NC_016845.1",79222,79725,"+",11845051,,"KPHS_00730","YP_005224373.1",167,"periplasmic repressor of stress-related two-component regulatory system"
"chromosome","NC_016845.1",79884,80786,"+",11845052,,"KPHS_00740","YP_005224374.1",300,"ferrous iron efflux protein F"
"chromosome","NC_016845.1",80983,81945,"+",11845053,,"KPHS_00750","YP_005224375.1",320,"6-phosphofructokinase"
"chromosome","NC_016845.1",82007,82354,"-",11845054,,"KPHS_00760","YP_005224376.1",115,"ribonuclease activity regulator protein RraA"
"chromosome","NC_016845.1",82585,83505,"-",11845055,,"KPHS_00770","YP_005224377.1",306,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
"chromosome","NC_016845.1",83575,84909,"-",11845056,,"KPHS_00780","YP_005224378.1",444,"ATP-dependent protease ATP-binding subunit"
"chromosome","NC_016845.1",84919,85449,"-",11845057,,"KPHS_00790","YP_005224379.1",176,"ATP-dependent protease peptidase subunit"
"chromosome","NC_016845.1",85541,86395,"-",11845058,,"KPHS_00800","YP_005224380.1",284,"essential cell division protein"
"chromosome","NC_016845.1",86603,87631,"-",11845059,,"KPHS_00810","YP_005224381.1",342,"DNA-binding transcriptional dual regulator"
"chromosome","NC_016845.1",87621,87752,"+",11845060,,"KPHS_00820","YP_005224382.1",43,"hypothetical protein KPHS_00820"
"chromosome","NC_016845.1",87782,89977,"-",11845061,,"KPHS_00830","YP_005224383.1",731,"primosome assembly protein PriA"
"chromosome","NC_016845.1",90293,90442,"+",11845062,,"KPHS_00840","YP_005224384.1",49,"50S ribosomal protein L31, partial"
"chromosome","NC_016845.1",90544,90861,"-",11845063,,"KPHS_00850","YP_005224385.1",105,"transcriptional repressor for methionine biosynthesis"
"chromosome","NC_016845.1",91129,92289,"+",11845064,,"KPHS_00860","YP_005224386.1",386,"cystathionine beta-lyase"
"chromosome","NC_016845.1",92292,94724,"+",11845065,,"KPHS_00870","YP_005224387.1",810,"bifunctional aspartate kinase II/homoserine dehydrogenase II"
"chromosome","NC_016845.1",94699,95835,"-",11845066,,"KPHS_00880","YP_005224388.1",378,"hypothetical protein KPHS_00880"
"chromosome","NC_016845.1",95974,97530,"+",11845067,,"KPHS_00890","YP_005224389.1",518,"bifunctional metallophosphatase/5\\'-nucleotidase"
"chromosome","NC_016845.1",97568,97939,"-",11845068,,"KPHS_00900","YP_005224390.1",123,"putative gamma-carboxymuconolactone decarboxylase subunit"
"chromosome","NC_016845.1",98031,98939,"+",11845069,,"KPHS_00910","YP_005224391.1",302,"putative LysR-family transcriptional regulator"
"chromosome","NC_016845.1",99168,100055,"+",11845070,,"KPHS_00920","YP_005224392.1",295,"5,10-methylenetetrahydrofolate reductase"
"chromosome","NC_016845.1",100199,101080,"+",11845071,,"KPHS_00930","YP_005224393.1",293,"DMT family transporter"
"chromosome","NC_016845.1",101144,102247,"-",11845072,,"KPHS_00940","YP_005224394.1",367,"glycerol dehydrogenase"
"chromosome","NC_016845.1",102302,102964,"-",11845073,,"KPHS_00950","YP_005224395.1",220,"fructose-6-phosphate aldolase"
"chromosome","NC_016845.1",103170,104156,"-",11845074,,"KPHS_00960","YP_005224396.1",328,"helix-turn-helix transcriptional regulator"
"chromosome","NC_016845.1",104181,104831,"+",11845075,,"KPHS_00970","YP_005224397.1",216,"metal-binding protein ZinT"
"chromosome","NC_016845.1",104875,107526,"-",11845076,,"KPHS_00980","YP_005224398.1",883,"phosphoenolpyruvate carboxylase"
"chromosome","NC_016845.1",107785,108936,"-",11845077,,"KPHS_00990","YP_005224399.1",383,"acetylornithine deacetylase"
