gene_id	gene_name	chromosome	start	end	strand	type
ENSG00000223972.5	DDX11L1	chr1	11869	14409	+	transcribed_unprocessed_pseudogene
ENSG00000227232.5	WASH7P	chr1	14404	29570	-	unprocessed_pseudogene
ENSG00000278267.1	MIR6859-1	chr1	17369	17436	-	miRNA
ENSG00000243485.5	MIR1302-2HG	chr1	29554	31109	+	lincRNA
ENSG00000284332.1	MIR1302-2	chr1	30366	30503	+	miRNA
ENSG00000237613.2	FAM138A	chr1	34554	36081	-	lincRNA
ENSG00000268020.3	OR4G4P	chr1	52473	53312	+	unprocessed_pseudogene
ENSG00000240361.2	OR4G11P	chr1	57598	64116	+	transcribed_unprocessed_pseudogene
ENSG00000186092.6	OR4F5	chr1	65419	71585	+	protein_coding
ENSG00000238009.6	AL627309.1	chr1	89295	133723	-	lincRNA
ENSG00000239945.1	AL627309.3	chr1	89551	91105	-	lincRNA
ENSG00000233750.3	CICP27	chr1	131025	134836	+	processed_pseudogene
ENSG00000268903.1	AL627309.6	chr1	135141	135895	-	processed_pseudogene
ENSG00000269981.1	AL627309.7	chr1	137682	137965	-	processed_pseudogene
ENSG00000239906.1	AL627309.2	chr1	139790	140339	-	antisense
ENSG00000241860.6	AL627309.5	chr1	141474	173862	-	processed_transcript
ENSG00000222623.1	RNU6-1100P	chr1	157784	157887	-	snRNA
ENSG00000241599.1	AL627309.4	chr1	160446	161525	+	lincRNA
ENSG00000279928.2	FO538757.2	chr1	182696	184174	+	unprocessed_pseudogene
ENSG00000279457.4	FO538757.1	chr1	185217	195411	-	unprocessed_pseudogene
ENSG00000273874.1	MIR6859-2	chr1	187891	187958	-	miRNA
ENSG00000228463.10	AP006222.1	chr1	257864	359681	-	transcribed_processed_pseudogene
ENSG00000236679.2	RPL23AP24	chr1	347982	348366	-	processed_pseudogene
ENSG00000236601.2	AL732372.1	chr1	358857	366052	+	lincRNA
ENSG00000237094.12	AL732372.2	chr1	365389	522928	-	transcribed_unprocessed_pseudogene
ENSG00000269732.1	WBP1LP7	chr1	439870	440232	+	processed_pseudogene
ENSG00000284733.1	OR4F29	chr1	450703	451697	-	protein_coding
ENSG00000233653.3	CICP7	chr1	487101	489906	+	processed_pseudogene
ENSG00000250575.1	AL732372.3	chr1	491225	493241	-	unprocessed_pseudogene
ENSG00000278757.1	RF00026	chr1	516376	516479	-	snRNA
ENSG00000230021.10	AL669831.3	chr1	586071	827796	-	transcribed_processed_pseudogene
ENSG00000235146.2	AC114498.1	chr1	587629	594768	+	lincRNA
ENSG00000225972.1	MTND1P23	chr1	629062	629433	+	unprocessed_pseudogene
ENSG00000225630.1	MTND2P28	chr1	629640	630683	+	unprocessed_pseudogene
ENSG00000237973.1	MTCO1P12	chr1	631074	632616	+	unprocessed_pseudogene
ENSG00000278791.1	MIR6723	chr1	632325	632413	-	miRNA
